ticker;signal_date;entry_date;exit_date;holding_days;entry_reason;exit_reason;entry_rank;entry_ranking_value;shares;entry_price;exit_price;notional_entry;notional_exit;entry_cost;exit_cost;max_price_since_entry;drawdown_from_peak_pct;gross_return_pct;net_return_pct
BIIB;2000-01-28;2000-01-31;2000-02-02;2;enter_or_hold;stop_loss;2;153,55606905794312;7,9247152055473;42,0625;35,33333206176758;333,3333333333333;280,00659385254147;0,7999999999999999;0,6720158252460995;44,3125;-20,26328448684327;-15,998021844237552;-16,478021844237553
COHR;2000-01-28;2000-01-31;2000-02-11;11;enter_or_hold;stop_loss;7;75,12888685060497;115,94202898550724;2,875;2,507812976837158;333,3333333333333;290,760924850685;0,7999999999999999;0,6978262196416439;2,9375;-14,627643341713759;-12,771722544794494;-13,251722544794495
CCI;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;left_top_n;12;58,673501194505874;10,866930181764397;30,674102783203125;30,43161964416504;333,3333333333333;330,6982859911514;0,7999999999999999;0,7936758863787633;38,736663818359375;-21,439750756899546;-0,7905142026545797;-1,2705142026545797
AMAT;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;10;61,32464582461594;6,10943837660784;34,3125;44,21875;209,6301042973565;270,15172821562794;0,5031122503136556;0,6483641477175071;47,09375;-6,104844061048443;28,870673952641155;28,390673952641155
AMD;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;8;67,88596943156449;10,072574944487123;18,0;18,875;181,3063490007682;190,11985207719445;0,4351352376018437;0,45628764498526664;22,75;-17,03296703296703;4,861111111111116;4,381111111111116
CTSH;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;3;119,76043929611296;141,73152202924774;1,5677080154418943;2,2486979961395264;222,1936431260311;318,7113895769745;0,5332647435024747;0,7649073349847387;2,7083330154418945;-16,971141166234084;43,43857236104513;42,958572361045135
GEN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;14;52,88784994892983;35,047638984553316;6,257812976837158;8,75;219,32157004504163;306,66684111484153;0,5263717681080999;0,7360004186756196;8,96875;-2,4390243902439046;39,82520782240524;39,34520782240524
GLW;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;4;94,55641765622812;3,8223336402332917;51,41666793823242;59,91666793823242;196,53165952901034;229,0214954709933;0,47167598286962475;0,5496515891303839;64,4375;-7,015840251045713;16,531604129250788;16,051604129250787
REGN;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;15;51,11143239238083;23,539967234790854;12,3125;45,125;289,8358465783624;1062,2410214699373;0,6956060317880698;2,5493784515278493;45,875;-1,6348773841961872;266,497461928934;266,017461928934
SWKS;2000-01-28;2000-01-31;2000-02-28;28;enter_or_hold;rebalance_trim;5;87,90976201538383;5,818124716201257;41,875;74,421875;243,63397249092762;432,99575036354037;0,5847215339782262;1,0391898008724967;74,734375;-0,41814760610495716;77,72388059701491;77,24388059701491
